"PRN","datetime","Vtec_tecsuite","Vtec_TECGPS","r_t"
1,2025-06-09,-71.66,17.3,-88.96
1,2025-06-09 00:00:15.0336,-71.685,17.27,-88.955
1,2025-06-09 00:00:29.9808,-71.741,17.27,-89.011
1,2025-06-09 00:00:45.0144,-71.783,17.25,-89.033
1,2025-06-09 00:00:59.9616,-71.807,17.27,-89.077
1,2025-06-09 00:01:14.9952,-71.858,17.25,-89.108
1,2025-06-09 00:01:30.0288,-71.894,17.24,-89.134
1,2025-06-09 00:01:44.976,-71.954,17.25,-89.204
1,2025-06-09 00:02:00.0096,-71.96,17.26,-89.22
1,2025-06-09 00:02:15.0432,-71.999,17.25,-89.249
1,2025-06-09 00:02:29.9904,-72.043,17.24,-89.283
1,2025-06-09 00:02:45.024,-72.083,17.22,-89.303
1,2025-06-09 00:02:59.9712,-72.11,17.24,-89.35
1,2025-06-09 00:03:15.0048,-72.17,17.24,-89.41
1,2025-06-09 00:03:30.0384,-72.191,17.25,-89.441
1,2025-06-09 00:03:44.9856,-72.234,17.22,-89.454
1,2025-06-09 00:04:00.0192,-72.276,17.23,-89.506
1,2025-06-09 00:04:14.9664,-72.309,17.24,-89.549
1,2025-06-09 00:04:30,-72.343,17.25,-89.593
1,2025-06-09 00:04:45.0336,-72.376,17.24,-89.616
1,2025-06-09 00:04:59.9808,-72.413,17.23,-89.643
1,2025-06-09 00:05:15.0144,-72.449,17.24,-89.689
1,2025-06-09 00:05:29.961599,-72.496,17.23,-89.726
1,2025-06-09 00:05:44.9952,-72.511,17.21,-89.721
1,2025-06-09 00:06:00.0288,-72.559,17.23,-89.789
1,2025-06-09 00:06:14.976,-72.596,17.24,-89.836
1,2025-06-09 00:06:30.0096,-72.628,17.23,-89.858
1,2025-06-09 00:06:44.9568,-72.658,17.21,-89.868
1,2025-06-09 00:06:59.9904,-72.682,17.2,-89.882
1,2025-06-09 00:07:15.024,-72.716,17.18,-89.896
1,2025-06-09 00:07:29.9712,-72.743,17.21,-89.953
1,2025-06-09 00:07:45.0048,-72.787,17.17,-89.957
1,2025-06-09 00:08:00.0384,-72.808,17.19,-89.998
1,2025-06-09 00:08:14.9856,-72.844,17.16,-90.004
1,2025-06-09 00:08:30.019199,-72.881,17.16,-90.041
1,2025-06-09 00:08:44.9664,-72.912,17.18,-90.092
1,2025-06-09 00:09:00,-72.945,17.17,-90.115
1,2025-06-09 00:09:15.0336,-72.978,17.17,-90.148
1,2025-06-09 00:09:29.9808,-73.013,17.15,-90.163
1,2025-06-09 00:09:45.0144,-73.029,17.17,-90.199
1,2025-06-09 00:09:59.9616,-73.066,17.18,-90.246
1,2025-06-09 00:10:14.9952,-73.104,17.16,-90.264
1,2025-06-09 00:10:30.0288,-73.136,17.16,-90.296
1,2025-06-09 00:10:44.976,-73.163,17.15,-90.313
1,2025-06-09 00:11:00.009601,-73.199,17.16,-90.359
1,2025-06-09 00:11:14.9568,-73.224,17.15,-90.374
1,2025-06-09 00:11:29.990399,-73.27,17.16,-90.43
1,2025-06-09 00:11:45.024,-73.303,17.14,-90.443
1,2025-06-09 00:11:59.9712,-73.328,17.15,-90.478
1,2025-06-09 00:12:15.0048,-73.357,17.15,-90.507
1,2025-06-09 00:12:30.0384,-73.397,17.16,-90.557
1,2025-06-09 00:12:44.9856,-73.422,17.16,-90.582
1,2025-06-09 00:13:00.0192,-73.444,17.15,-90.594
1,2025-06-09 00:13:14.9664,-73.454,17.15,-90.604
1,2025-06-09 00:13:30,-73.486,17.16,-90.646
1,2025-06-09 00:13:45.0336,-73.519,17.13,-90.649
1,2025-06-09 00:13:59.980801,-73.55,17.15,-90.7
1,2025-06-09 00:14:15.0144,-73.581,17.14,-90.721
1,2025-06-09 00:14:29.9616,-73.623,17.14,-90.763
1,2025-06-09 00:14:44.9952,-73.643,17.15,-90.793
1,2025-06-09 00:15:00.0288,-73.664,17.14,-90.804
1,2025-06-09 00:15:14.976,-73.712,17.15,-90.862
1,2025-06-09 00:15:30.0096,-73.73,17.15,-90.88
1,2025-06-09 00:15:45.0432,-73.764,17.14,-90.904
1,2025-06-09 00:15:59.9904,-73.783,17.14,-90.923
1,2025-06-09 00:16:15.024,-73.83,17.13,-90.96
1,2025-06-09 00:16:29.9712,-73.86,17.11,-90.97
1,2025-06-09 00:16:45.0048,-73.873,17.13,-91.003
1,2025-06-09 00:17:00.038401,-73.92,17.12,-91.04
1,2025-06-09 00:17:14.9856,-73.943,17.12,-91.063
1,2025-06-09 00:17:30.0192,-73.968,17.12,-91.088
1,2025-06-09 00:17:44.9664,-73.983,17.12,-91.103
1,2025-06-09 00:18:00,-74.016,17.11,-91.126
1,2025-06-09 00:18:15.0336,-74.039,17.08,-91.119
1,2025-06-09 00:18:29.9808,-74.062,17.08,-91.142
1,2025-06-09 00:18:45.0144,-74.074,17.08,-91.154
1,2025-06-09 00:18:59.9616,-74.093,17.09,-91.183
1,2025-06-09 00:19:14.9952,-74.124,17.08,-91.204
1,2025-06-09 00:19:30.0288,-74.151,17.11,-91.261
1,2025-06-09 00:19:44.976,-74.179,17.08,-91.259
1,2025-06-09 00:20:00.0096,-74.215,17.08,-91.295
